"ID","NAME","UNIQUE_NAME","GAMETIME","TIMEZONE","STDTIME","HOWTOPLAY","PLAY_TYPE","TOP_PRIZE","TOP_PRIZE_ODDS","PRIZE_ROLLOVER","PRIZE_PERI_MUTUAL","INFO_URL","INFO","IS_MULTI_STATE","IS_MULTI_COUNTRY","Status","PRIZE_MATRIX","isCardGame","NUM_OF_BALLS","DIS_GAME_TYPE","TINBU_GAME_ID","isJackpot","isPayout","HIGHEST_JACKPOT","HIGHEST_JACKPOT_DATE","TICKET_PRICE","ADVANCED_PLAYS","CUTOFFTIME"
338,Mega Money,Florida-Mega Money,"11:00 PM",US/Eastern,"11:00 PM",Choose 4 numbers 1 through 44 and 1 mega ball number from 1 to 22,"6/53",,"1 in 2,986,522",T,T,http://www.flalottery.com/megaMoney.do,,F,F,ignore,,F,"6+1","6/53 + XTRA",,F,F,,,,,
339,Cash 3 Midday,Georgia-Cash 3 Midday,"12:29 PM",US/Eastern,"12:29 PM",Choose 3 digits from 0 to 9.,"3-Digits",$500,"1 in 1,000",F,F,http://www.galottery.com/games/draw-games/cash-three,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Type of Play</strong></th><th><strong>Odds</strong></th><th><strong>$1</strong></th></tr></thead><tbody><tr><td><p>Straight</p></td><td><p>1:1000</p></td><td><p>$500</p></td></tr><tr><td><p>3-way box</p></td><td><p>1:333</p></td><td><p>$160</p></td></tr><tr><td><p>6-way box</p></td><td><p>1:167</p></td><td><p>$80</p></td></tr><tr><td><p>3-way combo</p></td><td><p>1:333</p></td><td><p>$500</p></td></tr><tr><td><p>6-way combo</p></td><td><p>1:167</p></td><td><p>$500</p></td></tr><tr><td><p>3-way str/box</p></td><td><p>1:333</p></td><td><p>$330(exact order)</p><p>$80(any order)</p></td></tr><tr><td><p>6-way str/box</p></td><td><p>1:167</p></td><td><p>$290(exact order)</p><p>$40(any order)</p></td></tr><tr><td><p>1-Off (straight)</p></td><td><p>1:1000</p></td><td><p>$250</p></td></tr><tr><td><p>One digit 1-Off</p></td><td><p>1:167</p></td><td><p>$24</p></td></tr><tr><td><p>Two digit 1-Off</p></td><td><p>1:83</p></td><td><p>$4</p></td></tr><tr><td><p>Three digit 1-Off</p></td><td><p>1:125</p></td><td><p>$8</p></td></tr><tr><td><p>Front Pair</p></td><td><p>1:1000</p></td><td><p>$50</p></td></tr><tr><td><p>Back Pair</p></td><td><p>1:1000</p></td><td><p>$50</p></td></tr></tbody></table>",F,"3","3-Digits",GAA,F,F,,,"1$",upto 7 consecutive draws,"Mon-Sun, 29 minutes before draw time"
340,Cash 3 Evening,Georgia-Cash 3 Evening,"6:59 PM",US/Eastern,"06:59 PM",Choose 3 digits from 0 to 9.,"3-Digits",$500,"1 in 1,000",F,F,http://www.galottery.com/games/draw-games/cash-three,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Type of Play</strong></th><th><strong>Odds</strong></th><th><strong>$1</strong></th></tr></thead><tbody><tr><td><p>Straight</p></td><td><p>1:1000</p></td><td><p>$500</p></td></tr><tr><td><p>3-way box</p></td><td><p>1:333</p></td><td><p>$160</p></td></tr><tr><td><p>6-way box</p></td><td><p>1:167</p></td><td><p>$80</p></td></tr><tr><td><p>3-way combo</p></td><td><p>1:333</p></td><td><p>$500</p></td></tr><tr><td><p>6-way combo</p></td><td><p>1:167</p></td><td><p>$500</p></td></tr><tr><td><p>3-way str/box</p></td><td><p>1:333</p></td><td><p>$330(exact order)</p><p>$80(any order)</p></td></tr><tr><td><p>6-way str/box</p></td><td><p>1:167</p></td><td><p>$290(exact order)</p><p>$40(any order)</p></td></tr><tr><td><p>1-Off (straight)</p></td><td><p>1:1000</p></td><td><p>$250</p></td></tr><tr><td><p>One digit 1-Off</p></td><td><p>1:167</p></td><td><p>$24</p></td></tr><tr><td><p>Two digit 1-Off</p></td><td><p>1:83</p></td><td><p>$4</p></td></tr><tr><td><p>Three digit 1-Off</p></td><td><p>1:125</p></td><td><p>$8</p></td></tr><tr><td><p>Front Pair</p></td><td><p>1:1000</p></td><td><p>$50</p></td></tr><tr><td><p>Back Pair</p></td><td><p>1:1000</p></td><td><p>$50</p></td></tr></tbody></table>",F,"3","3-Digits",GAB,F,F,,,"1$",upto 7 consecutive draws,"Mon-Sun, 9 minutes before draw time"
341,Cash 4 Midday,Georgia-Cash 4 Midday,"12:29 PM",US/Eastern,"12:29 PM",Choose 4 digits from 0 to 9.,"4-Digits","$5,000","1 in 10,000",F,F,http://www.galottery.com/games/draw-games/cash-four,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Type of Play</strong></th><th><strong>Odds</strong></th><th><strong>$1</strong></th></tr></thead><tbody><tr><td><p>Straight</p></td><td><p>1:10000</p></td><td><p>$5000</p></td></tr><tr><td><p>4-way box</p></td><td><p>1:2500</p></td><td><p>$1200</p></td></tr><tr><td><p>6-way box</p></td><td><p>1:1667</p></td><td><p>$800</p></td></tr><tr><td><p>12-way box</p></td><td><p>1:833</p></td><td><p>$400</p></td></tr><tr><td><p>24-way box</p></td><td><p>1:417</p></td><td><p>$200</p></td></tr><tr><td><p>4-way combo</p></td><td><p>1:2500</p></td><td><p>$5000</p></td></tr><tr><td><p>6-way combo</p></td><td><p>1:1667</p></td><td><p>$5000</p></td></tr><tr><td><p>12-way combo</p></td><td><p>1:833</p></td><td><p>$5000</p></td></tr><tr><td><p>24-way combo</p></td><td><p>1:417</p></td><td><p>$5000</p></td></tr><tr><td><p>4-way str/box</p></td><td><p>1:2500</p></td><td><p>$3100(exact order)</p><p>$600(any order)</p></td></tr><tr><td><p>6-way str/box</p></td><td><p>1:1667</p></td><td><p>$2900(exact order)</p><p>$400(any order)</p></td></tr><tr><td><p>12-way str/box</p></td><td><p>1:833</p></td><td><p>$2700(exact order)</p><p>$200(any order)</p></td></tr><tr><td><p>24-way str/box</p></td><td><p>1:417</p></td><td><p>$2600(exact order)</p><p>$100(any order)</p></td></tr><tr><td><p>1-Off (straight)</p></td><td><p>1:10000</p></td><td><p>$2500</p></td></tr><tr><td><p>One digit 1-Off</p></td><td><p>1:1250</p></td><td><p>$124</p></td></tr><tr><td><p>Two digit 1-Off</p></td><td><p>1:417</p></td><td><p>$24</p></td></tr><tr><td><p>Three digit 1-Off</p></td><td><p>1:313</p></td><td><p>$14</p></td></tr><tr><td><p>Four digit 1-Off</p></td><td><p>1:625</p></td><td><p>$32</p></td></tr></tbody></table>",F,"4","4-Digits",GAC,F,F,,,"1$",upto 7 consecutive draws,"Mon-Sun, 29 minutes before draw time"
342,Cash 4 Evening,Georgia-Cash 4 Evening,"6:59 PM",US/Eastern,"6:59 PM",Choose 4 digits from 0 to 9.,"4-Digits","$5,000","1 in 10,000",F,F,http://www.galottery.com/games/draw-games/cash-four,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Type of Play</strong></th><th><strong>Odds</strong></th><th><strong>$1</strong></th></tr></thead><tbody><tr><td><p>Straight</p></td><td><p>1:10000</p></td><td><p>$5000</p></td></tr><tr><td><p>4-way box</p></td><td><p>1:2500</p></td><td><p>$1200</p></td></tr><tr><td><p>6-way box</p></td><td><p>1:1667</p></td><td><p>$800</p></td></tr><tr><td><p>12-way box</p></td><td><p>1:833</p></td><td><p>$400</p></td></tr><tr><td><p>24-way box</p></td><td><p>1:417</p></td><td><p>$200</p></td></tr><tr><td><p>4-way combo</p></td><td><p>1:2500</p></td><td><p>$5000</p></td></tr><tr><td><p>6-way combo</p></td><td><p>1:1667</p></td><td><p>$5000</p></td></tr><tr><td><p>12-way combo</p></td><td><p>1:833</p></td><td><p>$5000</p></td></tr><tr><td><p>24-way combo</p></td><td><p>1:417</p></td><td><p>$5000</p></td></tr><tr><td><p>4-way str/box</p></td><td><p>1:2500</p></td><td><p>$3100(exact order)</p><p>$600(any order)</p></td></tr><tr><td><p>6-way str/box</p></td><td><p>1:1667</p></td><td><p>$2900(exact order)</p><p>$400(any order)</p></td></tr><tr><td><p>12-way str/box</p></td><td><p>1:833</p></td><td><p>$2700(exact order)</p><p>$200(any order)</p></td></tr><tr><td><p>24-way str/box</p></td><td><p>1:417</p></td><td><p>$2600(exact order)</p><p>$100(any order)</p></td></tr><tr><td><p>1-Off (straight)</p></td><td><p>1:10000</p></td><td><p>$2500</p></td></tr><tr><td><p>One digit 1-Off</p></td><td><p>1:1250</p></td><td><p>$124</p></td></tr><tr><td><p>Two digit 1-Off</p></td><td><p>1:417</p></td><td><p>$24</p></td></tr><tr><td><p>Three digit 1-Off</p></td><td><p>1:313</p></td><td><p>$14</p></td></tr><tr><td><p>Four digit 1-Off</p></td><td><p>1:625</p></td><td><p>$32</p></td></tr></tbody></table>",F,"4","4-Digits",GAH,F,F,,,"1$",upto 7 consecutive draws,"Mon-Sun, 9 minutes before draw time"
343,Georgia Five Midday,Georgia-Georgia Five Midday,"12:29 PM",US/Eastern,"12:29 PM",Choose 5 digits from 0 to 9.,"5-Digits","$10,000","1 in 100,000",F,F,http://www.galottery.com/games/draw-games/georgia-five,,F,F,Active,"<table class=""table table-bordered""><thead><tr><th><strong>Match in Exact order and Position</strong></th><th><strong>Win</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td width=""238""><p>All 5 numbers</p></td><td width=""208""><p>$10,000</p></td><td width=""208""><p>1 in 100,000</p></td></tr><tr><td width=""238""><p>First (or last) 4 numbers</p></td><td width=""208""><p>$225</p></td><td width=""208""><p>1 in 5,556</p></td></tr><tr><td width=""238""><p>First 3 numbers + last number</p></td><td width=""208""><p>$21</p></td><td width=""208""><p>1 in 11,111</p></td></tr><tr><td width=""238""><p>First numbers + last 3 numbers</p></td><td width=""208""><p>$21</p></td><td width=""208""><p>1 in 11,111</p></td></tr><tr><td width=""238""><p>First (or last) 3 numbers</p></td><td width=""208""><p>$20</p></td><td width=""208""><p>1 in 617</p></td></tr><tr><td width=""238""><p>First 2 numbers + last 2 numbers</p></td><td width=""208""><p>$20</p></td><td width=""208""><p>1 in 11,111</p></td></tr><tr><td width=""238""><p>First 2 numbers + last number</p></td><td width=""208""><p>$11</p></td><td width=""208""><p>1 in 1,235</p></td></tr><tr><td width=""238""><p>First number + last 2 numbers</p></td><td width=""208""><p>$11</p></td><td width=""208""><p>1 in 1,235</p></td></tr><tr><td width=""238""><p>First (or Last) 2 numbers</p></td><td width=""208""><p>$10</p></td><td width=""208""><p>1 in 62</p></td></tr><tr><td width=""238""><p>First number + last number</p></td><td width=""208""><p>$2</p></td><td width=""208""><p>1 in 123</p></td></tr><tr><td width=""238""><p>First (or last) number</p></td><td width=""208""><p>$1</p></td><td width=""208""><p>1 in 6</p></td></tr></tbody></table>",F,"5","5-Digits",GAE,F,F,,,"1$",upto 7 consecutive draws,"Mon-Sun, 29 minutes before draw time"
344,Georgia Five Evening,Georgia-Georgia Five Evening,"6:59 PM",US/Eastern,"06:59 PM",Choose 5 digits from 0 to 9.,"5-Digits","$10,000","1 in 100,000",F,F,http://www.galottery.com/games/draw-games/georgia-five,,F,F,Active,"<table class=""table table-bordered""><thead><tr><th><strong>Match in Exact order and Position</strong></th><th><strong>Win</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td width=""238""><p>All 5 numbers</p></td><td width=""208""><p>$10,000</p></td><td width=""208""><p>1 in 100,000</p></td></tr><tr><td width=""238""><p>First (or last) 4 numbers</p></td><td width=""208""><p>$225</p></td><td width=""208""><p>1 in 5,556</p></td></tr><tr><td width=""238""><p>First 3 numbers + last number</p></td><td width=""208""><p>$21</p></td><td width=""208""><p>1 in 11,111</p></td></tr><tr><td width=""238""><p>First numbers + last 3 numbers</p></td><td width=""208""><p>$21</p></td><td width=""208""><p>1 in 11,111</p></td></tr><tr><td width=""238""><p>First (or last) 3 numbers</p></td><td width=""208""><p>$20</p></td><td width=""208""><p>1 in 617</p></td></tr><tr><td width=""238""><p>First 2 numbers + last 2 numbers</p></td><td width=""208""><p>$20</p></td><td width=""208""><p>1 in 11,111</p></td></tr><tr><td width=""238""><p>First 2 numbers + last number</p></td><td width=""208""><p>$11</p></td><td width=""208""><p>1 in 1,235</p></td></tr><tr><td width=""238""><p>First number + last 2 numbers</p></td><td width=""208""><p>$11</p></td><td width=""208""><p>1 in 1,235</p></td></tr><tr><td width=""238""><p>First (or Last) 2 numbers</p></td><td width=""208""><p>$10</p></td><td width=""208""><p>1 in 62</p></td></tr><tr><td width=""238""><p>First number + last number</p></td><td width=""208""><p>$2</p></td><td width=""208""><p>1 in 123</p></td></tr><tr><td width=""238""><p>First (or last) number</p></td><td width=""208""><p>$1</p></td><td width=""208""><p>1 in 6</p></td></tr></tbody></table>",F,"5","5-Digits",GAF,F,F,,,"1$",upto 7 consecutive draws,"Mon-Sun, 9 minutes before draw time"
345,All or Nothing Morning,Georgia-All or Nothing Morning,"10:00 AM",US/Eastern,"10:00 AM",select 12 numbers from 1 to 24.,"12/24","$250,000","1 in 2,704,156",F,T,http://www.galottery.com/games/draw-games/all-or-nothing,,F,F,Ignore,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""> <th> Match </th> <th> Prize </th> <th> Odds of Winning </th> </tr> </thead> <tbody> <tr> <td> Match 12 </td> <td> $250,000 </td> <td> 1 in 2,704,156 </td> </tr> <tr> <td> Match 11 </td> <td> $500 </td> <td> 1 in 18,779 </td> </tr> <tr> <td> Match 10 </td> <td> $50 </td> <td> 1 in 621 </td> </tr> <tr> <td> Match 9 </td> <td> $10 </td> <td> 1 in 56 </td> </tr> <tr> <td> Match 8 </td> <td> $2 </td> <td> 1 in 11 </td> </tr> <tr> <td> Match 7 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 6 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 5 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 4 </td> <td> $2 </td> <td> 1 in 11 </td> </tr> <tr> <td> Match 3 </td> <td> $10 </td> <td> 1 in 56 </td> </tr> <tr> <td> Match 2 </td> <td> $50 </td> <td> 1 in 621 </td> </tr> <tr> <td> Match 1 </td> <td> $500 </td> <td> 1 in 18,779 </td> </tr> <tr> <td> Match 0 </td> <td> $250,000 </td> <td> 1 in 2,704,156 </td> </tr> <tr> <td colspan=3> Odds of winning any All or Nothing prize are 1 in 4.5. </td> </tr> </tbody> </table>",F,"12","12/24",GA4,F,F,,,,,
346,All or Nothing Day,Georgia-All or Nothing Day,"2:00 PM",US/Eastern,"02:00 PM",select 12 numbers from 1 to 24.,"12/24","$250,000","1 in 2,704,156",F,T,http://www.galottery.com/games/draw-games/all-or-nothing,,F,F,Ignore,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""> <th> Match </th> <th> Prize </th> <th> Odds of Winning </th> </tr> </thead> <tbody> <tr> <td> Match 12 </td> <td> $250,000 </td> <td> 1 in 2,704,156 </td> </tr> <tr> <td> Match 11 </td> <td> $500 </td> <td> 1 in 18,779 </td> </tr> <tr> <td> Match 10 </td> <td> $50 </td> <td> 1 in 621 </td> </tr> <tr> <td> Match 9 </td> <td> $10 </td> <td> 1 in 56 </td> </tr> <tr> <td> Match 8 </td> <td> $2 </td> <td> 1 in 11 </td> </tr> <tr> <td> Match 7 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 6 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 5 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 4 </td> <td> $2 </td> <td> 1 in 11 </td> </tr> <tr> <td> Match 3 </td> <td> $10 </td> <td> 1 in 56 </td> </tr> <tr> <td> Match 2 </td> <td> $50 </td> <td> 1 in 621 </td> </tr> <tr> <td> Match 1 </td> <td> $500 </td> <td> 1 in 18,779 </td> </tr> <tr> <td> Match 0 </td> <td> $250,000 </td> <td> 1 in 2,704,156 </td> </tr> <tr> <td colspan=3> Odds of winning any All or Nothing prize are 1 in 4.5. </td> </tr> </tbody> </table>",F,"12","12/24",GA5,F,F,,,,,
347,All or Nothing Evening,Georgia-All or Nothing Evening,"6:00 PM",US/Eastern,"06:00 PM",select 12 numbers from 1 to 24.,"12/24","$250,000","1 in 2,704,156",F,T,http://www.galottery.com/games/draw-games/all-or-nothing,,F,F,Ignore,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""> <th> Match </th> <th> Prize </th> <th> Odds of Winning </th> </tr> </thead> <tbody> <tr> <td> Match 12 </td> <td> $250,000 </td> <td> 1 in 2,704,156 </td> </tr> <tr> <td> Match 11 </td> <td> $500 </td> <td> 1 in 18,779 </td> </tr> <tr> <td> Match 10 </td> <td> $50 </td> <td> 1 in 621 </td> </tr> <tr> <td> Match 9 </td> <td> $10 </td> <td> 1 in 56 </td> </tr> <tr> <td> Match 8 </td> <td> $2 </td> <td> 1 in 11 </td> </tr> <tr> <td> Match 7 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 6 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 5 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 4 </td> <td> $2 </td> <td> 1 in 11 </td> </tr> <tr> <td> Match 3 </td> <td> $10 </td> <td> 1 in 56 </td> </tr> <tr> <td> Match 2 </td> <td> $50 </td> <td> 1 in 621 </td> </tr> <tr> <td> Match 1 </td> <td> $500 </td> <td> 1 in 18,779 </td> </tr> <tr> <td> Match 0 </td> <td> $250,000 </td> <td> 1 in 2,704,156 </td> </tr> <tr> <td colspan=3> Odds of winning any All or Nothing prize are 1 in 4.5. </td> </tr> </tbody> </table>",F,"12","12/24",GA6,F,F,,,,,
348,All or Nothing Night,Georgia-All or Nothing Night,"11:00 PM",US/Eastern,"11:00 PM",select 12 numbers from 1 to 24.,"12/24","$250,000","1 in 2,704,156",F,T,http://www.galottery.com/games/draw-games/all-or-nothing,,F,F,Ignore,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""> <th> Match </th> <th> Prize </th> <th> Odds of Winning </th> </tr> </thead> <tbody> <tr> <td> Match 12 </td> <td> $250,000 </td> <td> 1 in 2,704,156 </td> </tr> <tr> <td> Match 11 </td> <td> $500 </td> <td> 1 in 18,779 </td> </tr> <tr> <td> Match 10 </td> <td> $50 </td> <td> 1 in 621 </td> </tr> <tr> <td> Match 9 </td> <td> $10 </td> <td> 1 in 56 </td> </tr> <tr> <td> Match 8 </td> <td> $2 </td> <td> 1 in 11 </td> </tr> <tr> <td> Match 7 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 6 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 5 </td> <td> No prize  </td> <td> N/A </td> </tr> <tr> <td> Match 4 </td> <td> $2 </td> <td> 1 in 11 </td> </tr> <tr> <td> Match 3 </td> <td> $10 </td> <td> 1 in 56 </td> </tr> <tr> <td> Match 2 </td> <td> $50 </td> <td> 1 in 621 </td> </tr> <tr> <td> Match 1 </td> <td> $500 </td> <td> 1 in 18,779 </td> </tr> <tr> <td> Match 0 </td> <td> $250,000 </td> <td> 1 in 2,704,156 </td> </tr> <tr> <td colspan=3> Odds of winning any All or Nothing prize are 1 in 4.5. </td> </tr> </tbody> </table>",F,"12","12/24",GA7,F,F,,,,,
349,Fantasy 5,Georgia-Fantasy 5,"11:34 PM",US/Eastern,"11:34 PM",Choose 5 numbers from 1 through 42,"5/42",,"1 in 575,757",F,T,http://www.galottery.com/games/draw-games/fantasy-five,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""> <th> Match </th> <th> Prize </th> <th> Odds of Winning </th> </tr> </thead> <tbody> <tr> <td> Match 5 </td> <td> Jackpot </td> <td> 1 in 850,668 </td> </tr> <tr> <td> Match 4 </td> <td> Pari-mutuel (estimated $150) </td> <td> 1 in 4,598 </td> </tr> <tr> <td> Match 3 </td> <td> Pari-mutuel (estimated $10) </td> <td> 1 in 128 </td> </tr> <tr> <td> Match 2 </td> <td> Free Ticket </td> <td> 1 in 11 </td> </tr> <tr> <td colspan=3> Odds of winning any Fantasy 5 prize are approximately 1 in 10.06 </td> </tr> </tbody> </table>",F,"5","5/42",GA2,T,F,,,"1$",upto 14 consecutive draws,"Mon-Sun, 49 minutes before draw time"
350,Pick 3 Day,Idaho-Pick 3 Day,"1:59 PM",US/Mountain,"03:59 PM",Choose 3 digits from 0 to 9.,"3-Digits",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""> <thead><tr class=""result-table-heading""><th>Match</th><th>PrizeAmount</th><th>Odds</th></tr> </thead> <tbody><tr><td>Straight</td><td>$500</td><td>1 in 1,000</td></tr><tr><td>Box (6-way)</td><td>$80</td><td>1 in 167</td></tr><tr><td>Straight + Box (6-way) - Straight match</td><td>$290</td><td>1 in 1,000</td></tr><tr><td>Straight + Box (6-way) - Box match</td><td>$40</td><td>1 in 167</td></tr><tr><td>Pair</td><td>$50</td><td>1 in 100</td></tr><tr><td colspan=""3""> Note: The prize amounts are for $1 wager </td></tr>	</tbody></table>",F,"3","3-Digits",IDB,F,F,,,"1$",upto 70 consecutive draws,"Mon-Sun, 5 minutes before draw time"
351,Pick 3 Night,Idaho-Pick 3 Night,"7:59 PM",US/Mountain,"09:59 PM",Choose 3 digits from 0 to 9.,"3-Digits",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""> <thead><tr class=""result-table-heading""><th>Match</th><th>PrizeAmount</th><th>Odds</th></tr> </thead> <tbody><tr><td>Straight</td><td>$500</td><td>1 in 1,000</td></tr><tr><td>Box (6-way)</td><td>$80</td><td>1 in 167</td></tr><tr><td>Straight + Box (6-way) - Straight match</td><td>$290</td><td>1 in 1,000</td></tr><tr><td>Straight + Box (6-way) - Box match</td><td>$40</td><td>1 in 167</td></tr><tr><td>Pair</td><td>$50</td><td>1 in 100</td></tr><tr><td colspan=""3""> Note: The prize amounts are for $1 wager </td></tr> </tbody></table>",F,"3","3-Digits",IDA,F,F,,,"1$",upto 70 consecutive draws,"Mon-Sun, 5 minutes before draw time"
352,Weekly Grand,Idaho-Weekly Grand,"8:00 PM",US/Mountain,"10:00 PM",Choose five numbers from 1 to 32.,"5/32","$1,000 /week/year",,F,F,,,F,F,Ignore,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th>Match</th><th>Prize amount</th></tr></thead><tbody><tr><td><p>5 Match</p></td><td><p>Jackpot</p></td></tr><tr><td><p>4 Match</p></td><td><p>$200</p></td></tr><tr><td><p>3 Match</p></td><td><p>$25</p></td></tr><tr><td><p>2 Match</p></td><td><p>Free Ticket</p></td></tr></tbody></table>",F,"5","5/32",ID3,F,F,,,,upto 35 consecutive draws,"Mon-Sun, 5 minutes before draw time"
353,My3 Midday,Illinois-My3 Midday,"10:30 AM",US/Central,"11:30 AM",,"6/53",,,F,F,,,F,F,Ignore,,F,"6+1","6/53 + 1 (XTRA)",,F,F,,,,,
354,Pick 3 Midday,Illinois-Pick 3 Midday,"12:40 PM",US/Central,"01:40 PM",Choose 3 digits from 0 to 9.,"3-Digits+1",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Type of Play</strong></th><th><strong>Odds</strong></th><th><strong>$1<br />wager</strong></th></tr></thead><tbody><tr><td><p>""Exact order""(Straight)</p></td><td><p>1:1,000</p></td><td><p>$500</p></td></tr><tr><td><p>""Any order""(6-way box)</p></td><td><p>1:166.67</p></td><td><p>$80</p></td></tr><tr><td><p>""Any order""(3-way box)<br />(Where two digits are the same)</p></td><td><p>1:333.33</p></td><td><p>$160</p></td></tr><tr><td><p>3-way combo</p></td><td><p>1:1,000</p></td><td><p>$500</p></td></tr><tr><td><p>6-way combo</p></td><td><p>1:1,000</p></td><td><p>$500</p></td></tr><tr><td><p>3-way straight/box</p></td><td><p>1:1,000/1:333</p></td><td><p>$330/$80</p></td></tr><tr><td><p>6-way straight/box</p></td><td><p>1:1,000/1:167</p></td><td><p>$290/$40</p></td></tr><tr><td><p>Front pair</p></td><td><p>1:100</p></td><td><p>$50</p></td></tr><tr><td><p>Back pair</p></td><td><p>1:100</p></td><td><p>$50</p></td></tr></tbody></table>",F,"3+1","3-Digits + 1 (Fire ball)","120",F,F,,,"1$",upto 7 consecutive draws,"Mon-Sun, 5 minutes before draw time"
355,My3 Evening,Illinois-My3 Evening,"6:30 PM",US/Central,"07:30 PM",,"6/53",,,F,F,,,F,F,Ignore,,F,"6+1","6/53 + 1 (XTRA)",,F,F,,,,,
356,Pick 3 Evening,Illinois-Pick 3 Evening,"9:20 PM",US/Central,"10:20 PM",Choose 3 digits from 0 to 9.,"3-Digits+1",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Type of Play</strong></th><th><strong>Odds</strong></th><th><strong>$1<br />wager</strong></th></tr></thead><tbody><tr><td><p>""Exact order""(Straight)</p></td><td><p>1:1,000</p></td><td><p>$500</p></td></tr><tr><td><p>""Any order""(6-way box)</p></td><td><p>1:166.67</p></td><td><p>$80</p></td></tr><tr><td><p>""Any order""(3-way box)<br />(Where two digits are the same)</p></td><td><p>1:333.33</p></td><td><p>$160</p></td></tr><tr><td><p>3-way combo</p></td><td><p>1:1,000</p></td><td><p>$500</p></td></tr><tr><td><p>6-way combo</p></td><td><p>1:1,000</p></td><td><p>$500</p></td></tr><tr><td><p>3-way straight/box</p></td><td><p>1:1,000/1:333</p></td><td><p>$330/$80</p></td></tr><tr><td><p>6-way straight/box</p></td><td><p>1:1,000/1:167</p></td><td><p>$290/$40</p></td></tr><tr><td><p>Front pair</p></td><td><p>1:100</p></td><td><p>$50</p></td></tr><tr><td><p>Back pair</p></td><td><p>1:100</p></td><td><p>$50</p></td></tr></tbody></table>",F,"3+1","3-Digits + 1 (Fire ball)","121",F,F,,,"1$",upto 7 consecutive draws,"Mon-Sun, 7 minutes before draw time"
357,Pick 4 Midday,Illinois-Pick 4 Midday,"12:40 PM",US/Central,"01:40 PM",Choose 4 digits from 0 to 9.,"4-Digits+1","$5,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Type of Play</strong></th><th><strong>Odds</strong></th><th><strong>$1<br />wager</strong></th></tr></thead><tbody><tr><td><p>Straight</p></td><td><p>1:10,000</p></td><td><p>$5000</p></td></tr><tr><td><p>4-way box</p></td><td><p>1:2500</p></td><td><p>$1200</p></td></tr><tr><td><p>6-way box</p></td><td><p>1:1667</p></td><td><p>$800</p></td></tr><tr><td><p>12-way box</p></td><td><p>1:833</p></td><td><p>$400</p></td></tr><tr><td><p>24-way box</p></td><td><p>1:417</p></td><td><p>$200</p></td></tr><tr><td><p>4-way combo</p></td><td><p>1:10000</p></td><td><p>$5000</p></td></tr><tr><td><p>6-way combo</p></td><td><p>1:10000</p></td><td><p>$5000</p></td></tr><tr><td><p>12-way combo</p></td><td><p>1:10000</p></td><td><p>$5000</p></td></tr><tr><td><p>24-way combo</p></td><td><p>1:10000</p></td><td><p>$5000</p></td></tr><tr><td><p>4-way str/box</p></td><td><p>1:10000</p><p>1:2500(box)</p></td><td><p>$3100</p><p>$600(box)</p></td></tr><tr><td><p>6-way str/box</p></td><td><p>1:10000</p><p>1:1667(box)</p></td><td><p>$2900</p><p>$400(box)</p></td></tr><tr><td><p>12-way str/box</p></td><td><p>1:10000</p><p>1:833(box)</p></td><td><p>$2700</p><p>$200(box)</p></td></tr><tr><td><p>24-way str/box</p></td><td><p>1:10000</p><p>1:417(box)</p></td><td><p>$2,600</p><p>$100(box)</p></td></tr></tbody></table>",F,"4+1","4-Digits + 1 (Fire ball)","122",F,F,,,"1$",upto 7 consecutive draws,"Mon-Sun, 5 minutes before draw time"
