"GAME_ID","STATE_ID","ORDER_ID"
1013,143,10
1013,144,5
1013,145,11
1013,146,3
1013,147,8
1013,148,11
1014,109,8
1014,122,5
1014,129,0
1014,137,1
1015,112,4
1015,120,3
1016,112,5
1016,120,4
1017,107,19
1017,108,21
1017,111,16
1017,117,13
1017,121,12
1017,125,7
1017,127,9
1017,133,11
1017,138,9
1017,141,14
1018,106,10
1018,109,10
1018,112,8
1018,113,6
1018,116,14
1018,120,6
1018,122,7
1018,123,5
1018,126,6
1018,129,4
1018,131,5
1018,137,4
1018,138,10
1018,144,4
1018,147,7
